musica,artista,genero,popularidade,danceability,energy,valence,bpm,loudness,status_hit
My Unfortunate Erection (Chip's Lament),25th Annual Putnam County Spelling Bee Original Cast,show-tunes,34,0.653,0.461,0.701,77.539,-7.733,Normal
Woe Is Me,25th Annual Putnam County Spelling Bee Original Cast,show-tunes,32,0.539,0.445,0.568,173.891,-7.879,Normal
The 25th Annual Putnam County Spelling Bee,25th Annual Putnam County Spelling Bee Original Cast,show-tunes,33,0.524,0.336,0.602,169.547,-8.749,Normal
Fight the Dragons,Norbert Leo Butz,show-tunes,33,0.364,0.404,0.373,88.867,-10.213,Normal
The Witch (feat. Big Fish Original Broadway Cast),Norbert Leo Butz;Ciara Renée;Big Fish Original Broadway Cast,show-tunes,33,0.54,0.623,0.617,116.705,-6.795,Normal
Be the Hero (feat. Big Fish Original Broadway Cast),Norbert Leo Butz;Big Fish Original Broadway Cast,show-tunes,34,0.573,0.576,0.632,115.749,-8.45,Normal
Once Upon a December,Christy Altomare,show-tunes,62,0.166,0.288,0.0748,174.166,-12.45,Normal
The Story of Tonight - Reprise,Okieriete Onaodowan;Daveed Diggs;Lin-Manuel Miranda;Leslie Odom Jr.;Anthony Ramos,show-tunes,63,0.724,0.305,0.594,81.874,-12.763,Normal
"In Summer - From ""Frozen""/Soundtrack Version",Josh Gad,show-tunes,61,0.5,0.342,0.684,77.124,-9.536,Normal
Take a Break,Phillipa Soo;Lin-Manuel Miranda;Renée Elise Goldsberry;Anthony Ramos,show-tunes,62,0.552,0.371,0.587,81.548,-9.426,Normal
Meet Me Inside,Lin-Manuel Miranda;Leslie Odom Jr.;Christopher Jackson;Original Broadway Cast of Hamilton;Anthony Ramos,show-tunes,62,0.732,0.643,0.644,88.543,-8.318,Normal
That Would Be Enough,Phillipa Soo;Lin-Manuel Miranda,show-tunes,63,0.499,0.2,0.185,137.367,-10.276,Normal
History Has Its Eyes on You,Christopher Jackson;Lin-Manuel Miranda;Original Broadway Cast of Hamilton,show-tunes,64,0.438,0.373,0.274,77.415,-9.769,Normal
Say No to This,Jasmine Cephas-Jones;Leslie Odom Jr.;Lin-Manuel Miranda;Sydney James Harcourt;Original Broadway Cast of Hamilton,show-tunes,63,0.754,0.535,0.395,81.035,-8.156,Normal
Stay Alive,Original Broadway Cast of Hamilton,show-tunes,63,0.723,0.415,0.581,159.65,-10.394,Normal
It's Quiet Uptown,Renée Elise Goldsberry;Lin-Manuel Miranda;Phillipa Soo;Original Broadway Cast of Hamilton,show-tunes,62,0.484,0.187,0.227,129.753,-14.076,Normal
Never Ever Getting Rid of Me,Christopher Fitzgerald;Kimiko Glenn;Waitress Original Broadway Cast Ensemble,show-tunes,63,0.622,0.542,0.939,174.494,-6.215,Normal
Do You Hear The People Sing?,Aaron Tveit;Eddie Redmayne;Students;Les Misérables Cast,show-tunes,55,0.385,0.393,0.541,78.843,-10.326,Normal
Why,Andrew Garfield,show-tunes,51,0.531,0.0601,0.308,119.868,-15.165,Normal
A Girl Worth Fighting For,Lea Salonga;Harvey Fierstein;Matthew Wilder;James Hong;Jerry Tondo;Disney,show-tunes,63,0.368,0.35,0.849,175.741,-17.313,Normal
Cabinet Battle #1,Christopher Jackson;Daveed Diggs;Lin-Manuel Miranda;Okieriete Onaodowan,show-tunes,62,0.607,0.658,0.513,87.043,-7.762,Normal
"Be Our Guest - From ""Beauty and the Beast""/Soundtrack",Angela Lansbury;Jerry Orbach;Chorus - Beauty And the Beast;Disney,show-tunes,59,0.517,0.421,0.578,121.459,-12.822,Normal
Carnaval Del Barrio,Daphne Rubin-Vega;Stephanie Beatriz;Dascha Polanco;Melissa Barrera;Lin-Manuel Miranda;Corey Hawkins;Gregory Diaz IV;Leslie Grace;Anthony Ramos,show-tunes,53,0.546,0.563,0.7,113.215,-7.891,Normal
"Beauty and the Beast - From ""Beauty and the Beast"" / Soundtrack Version",Angela Lansbury;Disney,show-tunes,38,0.319,0.264,0.163,107.98,-8.641,Normal
"Who Lives, Who Dies, Who Tells Your Story",Original Broadway Cast of Hamilton,show-tunes,63,0.353,0.326,0.156,75.5,-9.687,Normal
What Comes Next?,Jonathan Groff,show-tunes,63,0.515,0.302,0.277,114.972,-10.882,Normal
Notes? / Prima Donna,"Andrew Lloyd Webber;Cast Of ""The Phantom Of The Opera"" Motion Picture",show-tunes,31,0.376,0.217,0.342,80.439,-18.249,Normal
He's the Wizard,RILEY;Shanice Williams;Original Television Cast of the Wiz LIVE!,show-tunes,32,0.314,0.89,0.37,170.519,-2.441,Normal
Burn for You,Barlow & Bear;Abigail Barlow;Emily Bear,show-tunes,56,0.35,0.421,0.335,94.112,-6.275,Normal
"I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version",Susan Egan;Cheryl Freeman;LaChanze;Vaneese Thomas;Lillias White;Disney,show-tunes,63,0.684,0.471,0.453,121.081,-9.43,Normal
Waving Through A Window,Ben Platt;Original Broadway Cast of Dear Evan Hansen,show-tunes,64,0.549,0.705,0.52,146.024,-5.563,Normal
The Human Heart,Lea Salonga;Once On This Island Storytellers,show-tunes,31,0.389,0.24,0.344,71.883,-14.708,Normal
Do-Re-Mi,Julie Andrews;Nicholas Hammond;Debbie Turner;Duane Chase;Heather Menzies;Angela Cartwright;Kym Karath;Charmian Carr,show-tunes,47,0.512,0.216,0.503,127.633,-12.152,Normal
"Making Today a Perfect Day - From ""Frozen Fever""",Idina Menzel;Kristen Bell;Cast of Frozen Fever,show-tunes,52,0.653,0.508,0.503,117.986,-6.22,Normal
All I Ask Of You,Andrew Lloyd Webber;Patrick Wilson;Emmy Rossum,show-tunes,32,0.206,0.137,0.125,113.253,-19.647,Normal
Edelweiss - Reprise,Julie Andrews;Bill Lee;Charmian Carr;Angela Cartwright;Duane Chase;Nicholas Hammond;Kym Karath;Heather Menzies;Debbie Turner,show-tunes,51,0.287,0.127,0.227,123.83,-15.797,Normal
The Phantom Of the Opera - From 'The Phantom Of The Opera' Motion Picture,Andrew Lloyd Webber;Gerard Butler;Emmy Rossum,show-tunes,62,0.444,0.608,0.354,119.985,-12.175,Normal
"Supercalifragilisticexpialidocious - From ""Mary Poppins""/Soundtrack Version",Julie Andrews;Dick Van Dyke;The Pearlie Chorus,show-tunes,49,0.506,0.609,0.947,80.228,-13.03,Normal
"Eglantine, Don't Let Me Down (Reprise: Eglantine) - From ""Bedknobs and Broomsticks""/Soundtrack Version",Angela Lansbury;David Tomlinson,show-tunes,29,0.528,0.488,0.708,124.219,-11.161,Normal
More Than Survive - Reprise,Will Connolly;'Be More Chill' Ensemble,show-tunes,30,0.668,0.571,0.895,156.237,-7.857,Normal
Rondo - schwarzer Prinz,Jubiläumscast Wien 2012,show-tunes,31,0.313,0.272,0.247,136.449,-13.86,Normal
In This Corner,Billy Porter;Tory Ross;Daniel Stewart Sherman;Jennifer Perry;Kinky Boots Ensemble,show-tunes,32,0.689,0.726,0.733,97.061,-6.832,Normal
After All of This and Everything,Heidi Blickenstaff,show-tunes,32,0.35,0.239,0.271,148.765,-11.53,Normal
"The Prince Is Giving a Ball / Now Is the Time""",Santino Fontana;Phumzile Sojola;Greg Hildreth;Harriet Harris;Laura Osnes;Marla Mindelle,show-tunes,31,0.544,0.649,0.626,124.972,-5.839,Normal
Finale: Bikini Bottom Day Reprise,"Company of SpongeBob SquarePants, The New Musical",show-tunes,31,0.396,0.746,0.74,137.911,-6.351,Normal
Sunday Morning Fever,Patina Miller;Sheila Hancock;Claire Greenaway;Julia Sutton;Katie Rowley Jones;Ian Lavender;Ako Mitchell;Sister Act Original London Cast,show-tunes,30,0.55,0.819,0.476,129.994,-6.645,Normal
The Lonely Goatherd,Julie Andrews;Charmian Carr;Heather Menzies;Nicholas Hammond;Duane Chase;Angela Cartwright;Debbie Turner;Kym Karath,show-tunes,51,0.678,0.255,0.604,100.317,-11.409,Normal
As We Stumble Along,Beth Leavel;'The Drowsy Chaperone' Original Broadway Cast,show-tunes,32,0.511,0.338,0.403,118.463,-8.201,Normal
Lost in the Brass,Lindsay Mendez,show-tunes,32,0.503,0.684,0.713,117.291,-5.167,Normal
Never Fall in Love with an Elf,Amy Spanger,show-tunes,30,0.592,0.274,0.434,111.253,-7.455,Normal
Live Like This,Sarah Charles Lewis;Valerie Wright;Carolee Carmello;Robert Lenzi;Andrew Keenan-Bolger;Terrence Mann;Tuck Everlasting Original Broadway Cast Ensemble,show-tunes,31,0.376,0.362,0.362,79.517,-8.98,Normal
Magic Foot,25th Annual Putnam County Spelling Bee Original Cast,show-tunes,30,0.53,0.452,0.765,162.108,-8.343,Normal
The Spelling Rules / My Favorite Moment of the Bee 1,25th Annual Putnam County Spelling Bee Original Cast,show-tunes,30,0.527,0.289,0.487,169.072,-9.159,Normal
"My Friend, the Dictionary",25th Annual Putnam County Spelling Bee Original Cast,show-tunes,30,0.47,0.183,0.4,86.621,-10.234,Normal
We Know,Lin-Manuel Miranda;Daveed Diggs;Leslie Odom Jr.;Okieriete Onaodowan,show-tunes,61,0.718,0.484,0.692,113.855,-10.376,Normal
Hurricane,Lin-Manuel Miranda;Original Broadway Cast of Hamilton,show-tunes,60,0.453,0.546,0.398,171.289,-7.952,Normal
Your Obedient Servant,Leslie Odom Jr.;Lin-Manuel Miranda;Original Broadway Cast of Hamilton,show-tunes,61,0.736,0.37,0.619,165.908,-11.072,Normal
Honor To Us All,Lea Salonga;Beth Fowler;Marni Nixon;Chorus - Mulan;Disney,show-tunes,60,0.462,0.242,0.652,168.006,-19.3,Normal
"Reflection - From ""Mulan"" / Soundtrack Version",Lea Salonga;Disney,show-tunes,59,0.321,0.29,0.0783,92.375,-13.927,Normal
One Last Time,Christopher Jackson;Lin-Manuel Miranda;Original Broadway Cast of Hamilton,show-tunes,62,0.449,0.42,0.41,176.989,-9.624,Normal
"Beauty and the Beast - From ""Beauty and the Beast"" / Soundtrack Version",Angela Lansbury;Disney,show-tunes,58,0.241,0.162,0.183,171.584,-14.447,Normal
Gaston,Josh Gad;Luke Evans;Ensemble - Beauty and the Beast,show-tunes,59,0.495,0.589,0.576,106.386,-6.642,Normal
Vienna,Ben Platt,show-tunes,53,0.652,0.469,0.29,126.043,-7.354,Normal
Swimming,Andrew Garfield;Vanessa Hudgens;Joshua Henry,show-tunes,51,0.448,0.676,0.124,149.976,-6.368,Normal
Louder Than Words,Andrew Garfield;Vanessa Hudgens;Joshua Henry,show-tunes,44,0.287,0.58,0.412,179.49,-5.497,Normal
I Know Him,Jonathan Groff,show-tunes,61,0.67,0.436,0.378,121.581,-8.636,Normal
"Sincerely, Me",Mike Faist;Ben Platt;Will Roland,show-tunes,63,0.677,0.731,0.603,97.864,-5.708,Normal
Finale,Patina Miller;Matthew James Thomas;Andrew Cekala;Ashton Woerz;The Players,show-tunes,29,0.348,0.418,0.295,145.891,-8.86,Normal
Ex-Wives,SIX,show-tunes,64,0.703,0.443,0.367,136.647,-9.601,Normal
Loser Geek Whatever,Will Roland;Be More Chill,show-tunes,29,0.521,0.36,0.0816,130.063,-8.08,Normal
Wondering,Steven Pasquale,show-tunes,29,0.338,0.353,0.11,112.498,-10.003,Normal
I Remember / Stranger Than You Dreamt It,Andrew Lloyd Webber;Gerard Butler;Emmy Rossum,show-tunes,30,0.289,0.0788,0.0393,93.724,-21.813,Normal
Down Once More / Track Down This Murderer,Andrew Lloyd Webber;Gerard Butler;Patrick Wilson;Emmy Rossum,show-tunes,29,0.287,0.145,0.074,89.277,-17.856,Normal
Marian The Librarian,Robert Preston,show-tunes,30,0.52,0.186,0.447,106.801,-17.258,Normal
"Poor Fool, He Makes Me Laugh","Andrew Lloyd Webber;Cast Of ""The Phantom Of The Opera"" Motion Picture",show-tunes,29,0.425,0.236,0.254,105.893,-19.725,Normal
Angel Of Music,Andrew Lloyd Webber;Gerard Butler;Jennifer Ellison;Emmy Rossum,show-tunes,29,0.293,0.0374,0.297,79.758,-25.203,Normal
It Takes Two,Matthew Morrison;Marissa Jaret Winokur;Hairspray Ensemble,show-tunes,29,0.314,0.553,0.575,203.752,-6.873,Normal
Wie du,Jubiläumscast Wien 2012,show-tunes,29,0.481,0.249,0.478,135.555,-15.423,Normal
"""Loneliness Of Evening""",Santino Fontana;Laura Osnes,show-tunes,29,0.389,0.373,0.272,93.327,-6.627,Normal
Jason's Bar Mitzvah,'Falsettos' 2016 Broadway Company,show-tunes,30,0.384,0.309,0.323,81.587,-8.716,Normal
The Kite,Anthony Rapp,show-tunes,29,0.562,0.366,0.366,74.573,-12.8,Normal
Up the Ladder to the Roof,Sherie Rene Scott;Lindsay Mendez;Betsy Wolfe,show-tunes,29,0.676,0.546,0.716,89.88,-6.521,Normal
Blind vom Licht der vielen Kerzen - MARIE ANTOINETTE - DAS MUSICAL,Marie Antoinette (Original Soundtrack),show-tunes,29,0.34,0.377,0.0625,75.478,-6.096,Normal
Unmeltable Me - Outtake,Josh Gad,show-tunes,29,0.685,0.435,0.765,79.168,-8.804,Normal
"Knights of the Round Table/The Song That Goes Like This (Reprise) - Original Broadway Cast Recording: ""Spamalot""",Sara Ramirez;Tim Curry;Michael McGrath;David Hyde Pierce;Hank Azaria;Christopher Sieber;Steve Rosen;Ensemble,show-tunes,29,0.475,0.769,0.481,142.102,-5.147,Normal
(You Make Me Feel Like) A Natural Woman,Jessie Mueller;Beautiful Female Ensemble,show-tunes,30,0.393,0.484,0.505,101.515,-4.838,Normal
Boote in der Nacht,Jubiläumscast Wien 2012,show-tunes,29,0.335,0.311,0.165,89.299,-11.557,Normal
Way Back in the Day,Carmen Cusack;Bright Star Original Broadway Ensemble,show-tunes,29,0.375,0.239,0.351,94.121,-9.551,Normal
Light of the World,George Salazar;Godspell (The New Broadway Cast Recording),show-tunes,30,0.552,0.793,0.685,110.282,-8.409,Normal
"You Won't Succeed On Broadway - Original Broadway Cast Recording: ""Spamalot""",David Hyde Pierce;Ensemble,show-tunes,29,0.503,0.643,0.543,151.106,-6.205,Normal
Pandemonium / My Favorite Moment of the Bee 2 - Reprise,25th Annual Putnam County Spelling Bee Original Cast,show-tunes,29,0.574,0.417,0.381,116.997,-7.43,Normal
The Story of the Tucks,Carolee Carmello;Robert Lenzi;Andrew Keenan-Bolger;Sarah Charles Lewis,show-tunes,29,0.747,0.326,0.521,93.07,-12.959,Normal
"Monks Chant / He Is Not Dead Yet - Original Broadway Cast Recording: ""Spamalot""",Christian Borle;Hank Azaria;David Hyde Pierce;Ensemble,show-tunes,29,0.598,0.704,0.643,95.424,-6.816,Normal
Marry the Man Today,Faith Prince;Josie de Guzman,show-tunes,30,0.679,0.131,0.616,124.988,-18.011,Normal
I Am Aldolpho,Danny Burstein;Beth Leavel;'The Drowsy Chaperone' Original Broadway Cast,show-tunes,30,0.537,0.382,0.371,83.809,-9.037,Normal
Prayer of the Comfort Counselor,25th Annual Putnam County Spelling Bee Original Cast,show-tunes,30,0.488,0.387,0.528,103.898,-7.137,Normal
A Bushel and a Peck,Faith Prince;Tina Marie DeLeone;Denise Faye;JoAnn M. Hunter;Nancy Lemenager;Greta Martin;Pascale Faye,show-tunes,30,0.52,0.29,0.708,160.028,-15.124,Normal
How It Ends,Norbert Leo Butz,show-tunes,29,0.272,0.271,0.15,77.301,-11.421,Normal
Daffodils,Kate Baldwin;Norbert Leo Butz,show-tunes,30,0.335,0.272,0.18,100.418,-10.093,Normal
Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel;Michael Bublé,show-tunes,57,0.553,0.476,0.558,113.401,-8.869,Normal
One Jump Ahead (Reprise),Mena Massoud,show-tunes,47,0.314,0.103,0.134,48.991,-16.886,Normal
Blow Us All Away,Ariana DeBose;Sasha Hutchings;Ephraim Sykes;Lin-Manuel Miranda;Original Broadway Cast of Hamilton;Anthony Ramos,show-tunes,59,0.82,0.451,0.665,88.566,-10.177,Normal
Running Out Of Time,Lin-Manuel Miranda;Ynairaly Simo;Christopher Jackson;Veronica Jackson;Gloria Calderón Kellett;Bri Holland;Alana de Fonseca;Jada Banks-Mace;Gloria Estefan;Zoe Saldana;Leslie David Baker,show-tunes,55,0.519,0.796,0.201,136.142,-6.336,Normal
Sunday,Andrew Garfield;Moondance Diner Ensemble,show-tunes,50,0.151,0.211,0.186,78.806,-10.513,Normal
Take Me Tonight,Alexander Klaws,show-tunes,28,0.52,0.586,0.41,143.753,-5.802,Normal
Waving Through A Window,Ben Platt;Original Broadway Cast of Dear Evan Hansen,show-tunes,60,0.552,0.692,0.543,144.666,-5.54,Normal
Only Us,Laura Dreyfuss;Ben Platt,show-tunes,58,0.467,0.346,0.243,69.006,-7.029,Normal
Dead Girl Walking,Barrett Wilbert Weed;Ryan McCartan,show-tunes,63,0.537,0.664,0.563,106.198,-6.503,Normal
No More,Andrew Garfield;Robin de Jesus,show-tunes,52,0.248,0.873,0.589,192.687,-5.057,Normal
Beautiful,Barrett Wilbert Weed;Katie Ladner;Alice Lee;Jessica Keenan Wynn;Elle McLemore,show-tunes,61,0.564,0.389,0.5,94.887,-8.169,Normal
The Streets of Dublin,Steven Pasquale,show-tunes,28,0.484,0.531,0.467,141.149,-8.689,Normal
Yemin Mi Ettin,Serkan Kaya,show-tunes,28,0.596,0.897,0.819,177.986,-4.607,Normal
We Have All Been Blind,Andrew Lloyd Webber;Patrick Wilson;Simon Callow;Ciaran Hinds,show-tunes,29,0.357,0.0366,0.1,139.666,-24.022,Normal
"The Warriors Arrive - From ""Pocahontas""/Score",Alan Menken,show-tunes,28,0.166,0.145,0.144,88.933,-21.074,Normal
"The Ballad of Sweeney Todd: ""His Hands Were Quick, His Fingers Were Strong""",Stephen Sondheim;Cris Groenendaal;Frank Kopyc;Richard Warren Pugh;Paul Gemignani,show-tunes,28,0.585,0.23,0.603,118.823,-18.558,Normal
Lady in the Long Black Dress,Nicolas Colicos;Thomas Goodbridge;Ivan De Freitas,show-tunes,28,0.534,0.54,0.471,176.055,-7.828,Normal
Bu Şehrin Geceleri,Serkan Kaya,show-tunes,28,0.634,0.786,0.469,104.993,-3.695,Normal
The Squip Enters,Eric William Morris,show-tunes,28,0.293,0.697,0.568,217.228,-6.473,Normal
Live By The Hook - Original Broadway Cast Recording,Kelsey Grammer,show-tunes,28,0.533,0.486,0.247,127.397,-8.503,Normal
Little Lotte / The Mirror (Angel Of Music),Andrew Lloyd Webber;Gerard Butler;Emmy Rossum,show-tunes,28,0.244,0.0513,0.104,70.89,-23.667,Normal
Wehrlos,Spotlight Musicals;Sabrina Weckerlin;Mathias Edenborn;Dennis Martin,show-tunes,28,0.273,0.41,0.105,145.332,-8.539,Normal
The People Versus Horton The Elephant - Original Broadway Cast Recording,Kevin Chamberlin,show-tunes,28,0.494,0.473,0.433,82.405,-10.835,Normal
Draußen ist Freiheit - 1,"Original (German) Cast of ""Tanz Der Vampire""",show-tunes,28,0.342,0.282,0.147,67.129,-11.784,Normal
Das Bin Ich,Spotlight Musicals;Sabrina Weckerlin;Christoph Jilo;Dennis Martin,show-tunes,27,0.426,0.457,0.206,73.992,-7.059,Normal
Mozart: Gold Von Den Sternen,Walter Lochmann;Arnold Schoenberg Chor;Ensemble der vereinigten Bühnen Wien;Orchester der Vereinigten Bühnen Wien;Casper Richter,show-tunes,28,0.492,0.432,0.103,129.936,-6.252,Normal
Nichts ist schwer,Jubiläumscast Wien 2012,show-tunes,28,0.349,0.358,0.163,86.54,-13.383,Normal
Days of Plenty,Mindi Dickstein;Jason Howland;'Little Women' Original Broadway Cast,show-tunes,28,0.308,0.255,0.127,94.591,-9.117,Normal
Quinze Ans,Claude-Michel Schönberg,show-tunes,27,0.419,0.3,0.204,128.275,-9.615,Normal
Five Forever,Mindi Dickstein;Jason Howland;'Little Women' Original Broadway Cast,show-tunes,28,0.671,0.462,0.742,131.157,-8.053,Normal
Eine Kaiserin muss glänzen,Jubiläumscast Wien 2012,show-tunes,27,0.524,0.463,0.538,146.847,-11.269,Normal
What You Got,Heidi Blickenstaff;Ann Harada;NaTasha Yvette Williams;Preston Sadleir,show-tunes,28,0.741,0.604,0.718,111.941,-4.954,Normal
The Jellicle Ball,"Andrew Lloyd Webber;""Cats"" 1983 Broadway Cast",show-tunes,29,0.341,0.556,0.179,80.661,-8.217,Normal
Einsames Gewand,Spotlight Musicals;Sabrina Weckerlin;Dennis Martin,show-tunes,28,0.389,0.272,0.379,88.035,-10.245,Normal
Teddy Bear / Hound Dog,Cheyenne Jackson;Leah Hocking;Mark Price;Jenn Gambatese,show-tunes,28,0.475,0.537,0.743,174.15,-9.052,Normal
The Second Goodbye,25th Annual Putnam County Spelling Bee Original Cast,show-tunes,28,0.274,0.338,0.352,168.752,-6.103,Normal
My Favorite Moment of the Bee 3 / Second,25th Annual Putnam County Spelling Bee Original Cast,show-tunes,28,0.348,0.275,0.326,168.763,-9.868,Normal
"Elisabeth, mach auf",Jubiläumscast Wien 2012,show-tunes,27,0.357,0.327,0.129,146.443,-13.649,Normal
Saturday Night in the City,Amy Spanger;The Wedding Singer Ensemble,show-tunes,28,0.457,0.688,0.434,163.871,-6.352,Normal
Unfair,Andrew Lloyd Webber;Laura Baldwin;Georgina Castle;Victoria Hamilton-Barritt,show-tunes,28,0.719,0.292,0.559,127.013,-13.085,Normal
Right in Front of Your Eyes,Amy Spanger;Matthew Saldívar,show-tunes,27,0.598,0.598,0.82,145.664,-5.196,Normal
The Wheel,Sarah Charles Lewis;Tuck Everlasting Original Broadway Cast Ensemble,show-tunes,27,0.473,0.206,0.504,105.472,-12.443,Normal
Touch-A-Touch-A-Touch Me,Alice Ripley;Dick Cavett;The Rocky Horror Show Band (2000);The Rocky Horror Show Ensemble (2000),show-tunes,29,0.615,0.452,0.587,84.514,-8.837,Normal
"""In My Own Little Corner"" - Reprise",Laura Osnes;Victoria Clark,show-tunes,27,0.6,0.288,0.449,112.123,-12.116,Normal
When You're Driving Through the Moonlight,Laura Osnes;Harriet Harris;Ann Harada;Marla Mindelle,show-tunes,28,0.543,0.296,0.372,117.143,-9.086,Normal
Ribbons Down My Back,Kate Baldwin,show-tunes,28,0.282,0.126,0.0674,70.878,-14.254,Normal
Secondary Characters,Heidi Blickenstaff;Susan Blackwell,show-tunes,28,0.605,0.383,0.364,111.371,-7.241,Normal
Changing Lives (Reprise),Beth Leavel;Brooks Ashmanskas;Christopher Sieber;Angie Schworer,show-tunes,28,0.61,0.728,0.792,143.639,-5.742,Normal
The World Was Wide Enough,Leslie Odom Jr.;Lin-Manuel Miranda;Original Broadway Cast of Hamilton,show-tunes,60,0.653,0.351,0.307,116.6,-12.776,Normal
For Forever,Ben Platt,show-tunes,60,0.371,0.457,0.166,96.269,-7.674,Normal
Waving Through A Window - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,Ben Platt,show-tunes,53,0.499,0.731,0.463,145.001,-6.452,Normal
Shining Star,Billy Porter;Cinderella Original Motion Picture Cast,show-tunes,43,0.627,0.565,0.394,105.959,-4.656,Normal
All I Ask Of You - Reprise,Andrew Lloyd Webber;Gerard Butler;Patrick Wilson;Emmy Rossum,show-tunes,28,0.259,0.0586,0.0716,86.578,-17.942,Normal
Share Your Address,Ben Platt,show-tunes,56,0.582,0.829,0.714,127.937,-5.054,Normal
Stuck,Andy Karl;Groundhog Day The Musical Company;Tim Minchin,show-tunes,27,0.771,0.503,0.875,127.905,-8.19,Normal
Alas for You,Hunter Parrish,show-tunes,27,0.396,0.749,0.598,93.292,-7.672,Normal
"God Rest Ye Merry, Gentlemen",Julie Andrews,show-tunes,26,0.271,0.208,0.285,162.733,-14.375,Normal
Elk Tour Suite Pt. 5,Brian Stokes Mitchell,show-tunes,27,0.302,0.122,0.0923,146.475,-20.493,Normal
Nobody Needs to Know,Norbert Leo Butz,show-tunes,27,0.25,0.125,0.0748,89.261,-16.411,Normal
Elk Tour Suite Pt. 6,Brian Stokes Mitchell;Chris Diamantopoulos,show-tunes,28,0.599,0.396,0.228,79.902,-12.277,Normal
Herrscher der Welt,Raimund Theater Ensemble;Vereinigte Bühnen Wien,show-tunes,27,0.795,0.621,0.706,117.997,-5.529,Normal
The World Is Upside Down - Original Broadway Cast Recording,Matthew Morrison;Kelsey Grammer;Aidan Gemme;Christopher Paul Richards;Sawyer Nunes;Alex Dreier,show-tunes,27,0.648,0.428,0.566,127.285,-7.896,Normal
Nie geseh'n,"Original (German) Cast of ""Tanz Der Vampire""",show-tunes,27,0.275,0.305,0.182,98.434,-11.508,Normal
Havin' A Hunch - Original Broadway Cast Recording,David Shiner,show-tunes,27,0.566,0.51,0.472,161.528,-9.851,Normal
Easy to Be Hard,Caissie Levy,show-tunes,27,0.454,0.383,0.669,154.776,-11.301,Normal
Your Daddy's Son,Audra McDonald,show-tunes,28,0.322,0.126,0.1,76.871,-12.812,Normal
The Schmuel Song,Norbert Leo Butz,show-tunes,27,0.495,0.28,0.284,85.059,-13.486,Normal
Just One Step,Shoshana Bean,show-tunes,27,0.532,0.416,0.339,132.638,-8.296,Normal
I Have Confidence,Julie Andrews,show-tunes,47,0.439,0.234,0.411,75.45,-13.872,Normal
Die Fäden in der Hand,Uwe Kröger;Claus Dam;Ensemble,show-tunes,27,0.616,0.763,0.849,121.402,-8.11,Normal
My Own Best Friend,Bebe Neuwirth;Ann Reinking;Rob Fisher,show-tunes,27,0.314,0.385,0.593,68.071,-11.808,Normal
High Enough,Rock Of Ages Cast;Amy Spanger;Constantine Maroulis,show-tunes,26,0.373,0.64,0.429,155.919,-5.88,Normal
A Miracle Would Happen / When You Come Home to Me,Sherie Rene Scott;Norbert Leo Butz,show-tunes,27,0.397,0.46,0.323,86.163,-10.389,Normal
This Is My Life,Samantha Barks,show-tunes,27,0.57,0.502,0.236,137.849,-7.132,Normal
"He, Ho, He!","Original (German) Cast of ""Tanz Der Vampire""",show-tunes,27,0.341,0.378,0.221,77.832,-13.73,Normal
Believer,Lea Michele,show-tunes,46,0.287,0.668,0.309,88.491,-5.16,Normal
Poison in My Pocket,Bryce Pinkham;Jefferson Mays;Catherine Walker,show-tunes,28,0.624,0.367,0.558,80.71,-11.046,Normal
Knoblauch,"Original (German) Cast of ""Tanz Der Vampire""",show-tunes,27,0.562,0.488,0.505,134.121,-10.53,Normal
"Mama, wo bist du?",Jubiläumscast Wien 2012,show-tunes,27,0.345,0.245,0.342,70.102,-17.01,Normal
Our Finest Dreams,Mindi Dickstein;Jason Howland;'Little Women' Original Broadway Cast,show-tunes,27,0.542,0.398,0.673,148.657,-8.008,Normal
Prologue,Laura Osnes;Rodgers + Hammerstein's Cinderella Original Broadway Ensemble,show-tunes,27,0.157,0.333,0.191,79.597,-11.753,Normal
Jailhouse Rock,Cheyenne Jackson;Michael X. Martin;Paul Castree;All Shook Up Ensemble,show-tunes,27,0.479,0.571,0.547,91.178,-7.832,Normal
Look at the Sky,Hunter Foster;Nancy Opel;Rachel Coloff;Rick Crom;Kay Walbye;Victor W. Hawks;Spencer Kayden;Ken Jennings;Megan Lawrence;Lawrence Street,show-tunes,27,0.56,0.358,0.5,143.519,-8.936,Normal
"Fabulous, Baby! - Reprise",Patina Miller;Sister Act Original London Cast,show-tunes,27,0.394,0.746,0.678,156.253,-5.637,Normal
"""He Was Tall""",Laura Osnes,show-tunes,27,0.334,0.255,0.123,78.2,-12.12,Normal
At Long Last,Carmen Cusack;Bright Star Original Broadway Ensemble,show-tunes,27,0.287,0.369,0.195,133.457,-8.854,Normal
Unbreakable,Andrew Lloyd Webber;Carrie Hope Fletcher,show-tunes,27,0.513,0.0685,0.0774,71.444,-18.57,Normal
Off to Massachusetts,Mindi Dickstein;Jason Howland;'Little Women' Original Broadway Cast,show-tunes,27,0.729,0.281,0.689,135.564,-10.32,Normal
Woe Is Me - Reprise,25th Annual Putnam County Spelling Bee Original Cast,show-tunes,27,0.626,0.0752,0.357,94.626,-13.282,Normal
